person_id,praenomen,nomen,cognomen,family_id,birth_year,death_year,gender,father_id,mother_id,spouse_id,patron_id,status,inscription_id,inscription_location,inscription_type
62,Marcus,Tullius,Cicero,3,-15,50,M,68,69,63,NA,plebeian,INS062,Arpinum,honorary
63,Terentia,Varria,Secunda,3,-20,45,F,NA,NA,62,NA,plebeian,INS063,Arpinum,honorary
64,Publius,Tullius,Longus,3,5,70,M,62,63,65,NA,plebeian,INS064,Rome,funerary
65,Claudia,Marcella,Minor,3,0,65,F,NA,NA,64,NA,patrician,INS065,Rome,funerary
66,Gaius,Tullius,Rufus,3,10,75,M,62,63,67,NA,plebeian,INS066,Rome,honorary
67,Licinia,Mucia,Tertia,3,5,70,F,NA,NA,66,NA,patrician,INS067,Rome,honorary
68,Lucius,Tullius,Flaccus,3,-40,25,M,35,36,69,NA,patrician,INS068,Rome,funerary
69,Fulvia,Bambula,Maior,3,-45,20,F,NA,NA,68,NA,plebeian,INS069,Rome,funerary
70,Quintus,Tullius,Priscus,3,25,90,M,66,67,NA,NA,plebeian,INS070,Rome,votive
71,Sextus,Tullius,Cato,3,30,95,M,64,65,NA,NA,plebeian,INS071,Rome,votive
72,Lucius,Valerius,Flaccus,1,30,90,M,17,18,NA,NA,patrician,INS072,Rome,honorary
73,Titus,Cornelius,Novus,2,20,85,M,39,NA,NA,NA,patrician,INS073,Rome,funerary
74,Aulus,Cornelius,Macro,2,30,90,M,54,55,NA,NA,patrician,INS074,Capua,honorary
