"","X","id","latitude","longitude","findspot_ancient_clean","province_label_clean","modern_region_clean","not_before","not_after","type_of_monument_clean","material_clean","type_of_inscription_clean","transcription","clean_text_interpretive_word","id_people","person_number_insc","name","praenomen","nomen","name_clean","nomen_clean","cognomen","supernomen","gender","origo","status","total_age","age_years","age_months","age_hours","nomen_nonempty"
"11",2958,"HD001239",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",201,400,"NULL","Marble","epitaph","------]s[ti?]co [---] / [--- a]nnos [---] / [---] et [---] / [--- a]nnos [---] / [--- die?]s III [------","stico annos et annos dies III",2958,1,"[---]s[ti?]co",NA,"[---]","[---]s[ti?]co","[---]","[---]sticus+?",NA,"male",NA,NA,NA,NA,NA,NA,""
"12",2959,"HD001239",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",201,400,"NULL","Marble","epitaph","------]s[ti?]co [---] / [--- a]nnos [---] / [---] et [---] / [--- a]nnos [---] / [--- die?]s III [------","stico annos et annos dies III",2959,2,"[---]",NA,"[---]","[---]","[---]","[---]",NA,NA,NA,NA,NA,NA,NA,NA,""
"13",3433,"HD001523",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","B(onae) m(emoriae) // Aur(eliae) Theodorae / quae vixit in s(a)eculo / annis XL cum coniuge / annis XXVI Aurelius / coniux Fructosa et / Aurelius fili contra / votum pos(u)erunt","Bonae memoriae Aureliae Theodorae quae vixit in saeculo annis XL cum coniuge annis XXVI Aurelius coniux Fructosa et Aurelius fili contra votum posuerunt",3433,1,"Aur. Theodorae",NA,"Aurelia*","Aur. Theodorae","Aurelia","Theodora",NA,"female",NA,NA,40,40,NA,NA,"Aurelia"
"14",3434,"HD001523",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","B(onae) m(emoriae) // Aur(eliae) Theodorae / quae vixit in s(a)eculo / annis XL cum coniuge / annis XXVI Aurelius / coniux Fructosa et / Aurelius fili contra / votum pos(u)erunt","Bonae memoriae Aureliae Theodorae quae vixit in saeculo annis XL cum coniuge annis XXVI Aurelius coniux Fructosa et Aurelius fili contra votum posuerunt",3434,2,"Aurelius",NA,NA,"Aurelius",NA,"Aurelius",NA,"male",NA,NA,NA,NA,NA,NA,NA
"15",3435,"HD001523",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","B(onae) m(emoriae) // Aur(eliae) Theodorae / quae vixit in s(a)eculo / annis XL cum coniuge / annis XXVI Aurelius / coniux Fructosa et / Aurelius fili contra / votum pos(u)erunt","Bonae memoriae Aureliae Theodorae quae vixit in saeculo annis XL cum coniuge annis XXVI Aurelius coniux Fructosa et Aurelius fili contra votum posuerunt",3435,3,"Fructosa",NA,NA,"Fructosa",NA,"Fructosa",NA,"female",NA,NA,NA,NA,NA,NA,NA
"16",3436,"HD001523",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","B(onae) m(emoriae) // Aur(eliae) Theodorae / quae vixit in s(a)eculo / annis XL cum coniuge / annis XXVI Aurelius / coniux Fructosa et / Aurelius fili contra / votum pos(u)erunt","Bonae memoriae Aureliae Theodorae quae vixit in saeculo annis XL cum coniuge annis XXVI Aurelius coniux Fructosa et Aurelius fili contra votum posuerunt",3436,4,"Aurelius",NA,NA,"Aurelius",NA,"Aurelius",NA,"male",NA,NA,NA,NA,NA,NA,NA
"17",3519,"HD001568",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",51,130,"stele","NULL","epitaph","L(ucio) Verginio / Macrino / [VI]vir(o) Comi / aedit(uo) m[a]g(istro) / Martis per / ann(os) XLV / Vergini(i) / Secundus et / Maximus / hered(es)","Lucio Verginio Macrino VI viro Comi aedituo magistro Martis per annos XLV Verginii Secundus et Maximus heredes",3519,1,"L. Verginio Macrino","L.","Verginius","L. Verginio Macrino","Verginius","Macrinus",NA,"male",NA,"Augustales",NA,NA,NA,NA,"Verginius"
"18",3520,"HD001568",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",51,130,"stele","NULL","epitaph","L(ucio) Verginio / Macrino / [VI]vir(o) Comi / aedit(uo) m[a]g(istro) / Martis per / ann(os) XLV / Vergini(i) / Secundus et / Maximus / hered(es)","Lucio Verginio Macrino VI viro Comi aedituo magistro Martis per annos XLV Verginii Secundus et Maximus heredes",3520,2,"Vergini Secundus et Maximus",NA,"Verginius","Vergini Secundus et Maximus","Verginius","Secundus",NA,"male",NA,NA,NA,NA,NA,NA,"Verginius"
"19",3521,"HD001568",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",51,130,"stele","NULL","epitaph","L(ucio) Verginio / Macrino / [VI]vir(o) Comi / aedit(uo) m[a]g(istro) / Martis per / ann(os) XLV / Vergini(i) / Secundus et / Maximus / hered(es)","Lucio Verginio Macrino VI viro Comi aedituo magistro Martis per annos XLV Verginii Secundus et Maximus heredes",3521,3,"Vergini Secundus et Maximus",NA,"Verginius","Vergini Secundus et Maximus","Verginius","Maximus",NA,"male",NA,NA,NA,NA,NA,NA,"Verginius"
"20",4324,"HD001921",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",401,500,"tabula","Marble","epitaph","B(onae) m(emoriae) / <D=O>esideria(!) qu(a)e visit(!) in s(a)eculo / an(n)us(!) plus minu(s) XXVI fecit / qum(!) Birginio(!) suo annus(!) XIII / deposita est VX K(alendas) Febr(u)arias","Bonae memoriae Desideria quae visit in saeculo annus plus minus XXVI fecit qum Birginio suo annus XIII deposita est VX Kalendas Februarias",4324,1,"<D=O>esideria(!)",NA,NA,"<D>esideria(!)",NA,"Oesideria (= Desideria)",NA,"female",NA,NA,26,26,NA,NA,NA
"21",4325,"HD001921",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",401,500,"tabula","Marble","epitaph","B(onae) m(emoriae) / <D=O>esideria(!) qu(a)e visit(!) in s(a)eculo / an(n)us(!) plus minu(s) XXVI fecit / qum(!) Birginio(!) suo annus(!) XIII / deposita est VX K(alendas) Febr(u)arias","Bonae memoriae Desideria quae visit in saeculo annus plus minus XXVI fecit qum Birginio suo annus XIII deposita est VX Kalendas Februarias",4325,2,"Birginio(!)?",NA,NA,"Birginio(!)?",NA,"Birginius? (= Virginius?)",NA,"male",NA,NA,NA,NA,NA,NA,NA
"22",4363,"HD001939",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"NULL","Marble","epitaph","[B(onae)] m(emoriae) / Victor(i)a qu[ae] / vixit in s(a)ecul[o] / annis XXVI m(ensibus) II / d(iebus) III maritus [posu]/it","Bonae memoriae Victoria quae vixit in saeculo annis XXVI mensibus II diebus III maritus posuit",4363,1,"Victora(!)",NA,NA,"Victora(!)",NA,"Victora (= Victoria)",NA,"female",NA,NA,26.1748858447489,26,2,NA,NA
"23",4367,"HD001942",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","------] / [--- infeli?]/cissimo et f[ilio? pien?]/tissimo qui vix[it] an(nos) / VII m(enses) X dies XXVII / Victorinianus et Victorin[a] / parentes contra votum","infelicissimo et filio pientissimo qui vixit annos VII menses X dies XXVII Victorinianus et Victorina parentes contra votum",4367,1,"[---]",NA,NA,"[---]",NA,"[---]",NA,"male",NA,NA,7.90730593607306,7,10,NA,NA
"24",4368,"HD001942",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","------] / [--- infeli?]/cissimo et f[ilio? pien?]/tissimo qui vix[it] an(nos) / VII m(enses) X dies XXVII / Victorinianus et Victorin[a] / parentes contra votum","infelicissimo et filio pientissimo qui vixit annos VII menses X dies XXVII Victorinianus et Victorina parentes contra votum",4368,2,"Victorinianus",NA,NA,"Victorinianus",NA,"Victorinianus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"25",4369,"HD001942",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","------] / [--- infeli?]/cissimo et f[ilio? pien?]/tissimo qui vix[it] an(nos) / VII m(enses) X dies XXVII / Victorinianus et Victorin[a] / parentes contra votum","infelicissimo et filio pientissimo qui vixit annos VII menses X dies XXVII Victorinianus et Victorina parentes contra votum",4369,3,"Victorin[a]",NA,NA,"Victorin[a]",NA,"Victorina+",NA,"female",NA,NA,NA,NA,NA,NA,NA
"26",4416,"HD001966",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",14,37,"tabula","NULL","building/dedicatory inscription","[--- Teren]tius P(ubli) f(ilius) Hisp[o] / [legatus Ti(beri) C]aesaris Aug[usti] / [sodalis Titi]us Xvir st(litibus) iud(icandis) / [q(uaestor) pr(o) pr(aetore)] provinc(iae) Sicil[iae] / [Dianam N]emorensem / [posuit et portic]us faciendas [curavit]","Terentius Publi filius Hispo legatus Tiberi Caesaris Augusti sodalis Titius X vir stlitibus iudicandis quaestor pro praetore provinciae Siciliae Dianam Nemorensem posuit et porticus faciendas curavit",4416,1,"[- Teren]tius P.f. Hisp[o]","[-]","Terentius+","[- Teren]tius P.f. Hisp[o]","Terentius","Hispo+",NA,"male",NA,"senatorial order",NA,NA,NA,NA,"Terentius"
"27",4417,"HD001966",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",14,37,"tabula","NULL","building/dedicatory inscription","[--- Teren]tius P(ubli) f(ilius) Hisp[o] / [legatus Ti(beri) C]aesaris Aug[usti] / [sodalis Titi]us Xvir st(litibus) iud(icandis) / [q(uaestor) pr(o) pr(aetore)] provinc(iae) Sicil[iae] / [Dianam N]emorensem / [posuit et portic]us faciendas [curavit]","Terentius Publi filius Hispo legatus Tiberi Caesaris Augusti sodalis Titius X vir stlitibus iudicandis quaestor pro praetore provinciae Siciliae Dianam Nemorensem posuit et porticus faciendas curavit",4417,2,"[Ti. C]aesaris Aug[usti]","Ti.+","Caesar+","[Ti. C]aesaris Aug[usti]","Caesar","Augustus+",NA,"male",NA,NA,NA,NA,NA,NA,"Caesar"
"28",4460,"HD001984",8.5383,45.8816,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","Gneiss","epitaph","Luto / Artonis f(ilius)","Luto Artonis filius",4460,1,"Luto Artonis f.",NA,NA,"Luto Artonis f.",NA,"Luto",NA,"male",NA,NA,NA,NA,NA,NA,NA
"29",4461,"HD001984",8.5383,45.8816,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","Gneiss","epitaph","Luto / Artonis f(ilius)","Luto Artonis filius",4461,2,"Artonis",NA,NA,"Artonis",NA,"Arto",NA,"male",NA,NA,NA,NA,NA,NA,NA
"30",4472,"HD001987",8.5383,45.8816,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","Gneiss","epitaph","Exobna / Diuconis / f(ilia)","Exobna Diuconis filia",4472,1,"Exobna Diuconis f.",NA,NA,"Exobna Diuconis f.",NA,"Exobna",NA,"female",NA,NA,NA,NA,NA,NA,NA
"31",4473,"HD001987",8.5383,45.8816,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","Gneiss","epitaph","Exobna / Diuconis / f(ilia)","Exobna Diuconis filia",4473,2,"Diuconis",NA,NA,"Diuconis",NA,"Diuco",NA,"male",NA,NA,NA,NA,NA,NA,NA
"32",4538,"HD002020",9.1566,45.1859,"Ticinum","Transpadana (Regio XI)","Lombardia",51,100,"block","Marble","NULL","------] / Mania L(uci) f(ilia) B[e]tutia Pro[---] / flaminica divae Aug(ustae) [------","Mania Luci filia Betutia Pro flaminica divae Augustae",4538,1,"Mania L.f. B[e]tutia Pro[---]",NA,"Mania Betutia+","Mania L.f. B[e]tutia Pro[---]","Mania Betutia","Pro[---]",NA,"female",NA,NA,NA,NA,NA,NA,"Mania Betutia"
"33",4587,"HD002038",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",351,500,"tabula","NULL","epitaph","D(o)m(ino) / et patrono / amantissimo M(---) / Iuliano viro pre/f(ectissimo?)(!) qui sine fato peri(i)t / qui vixit an(nos) plus minus / XLVII m(enses) VIII d(ies) XXV pos(uit) / Quintus [---] suo","Domino et patrono amantissimo M Iuliano viro prefectissimo qui sine fato periit qui vixit annos plus minus XLVII menses VIII dies XXV posuit Quintus suo",4587,1,"M. Iuliano",NA,"M(---)","M. Iuliano","M(---)","Iulianus",NA,"male",NA,"equestrian order?",47.7351598173516,47,8,NA,""
"34",4588,"HD002038",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",351,500,"tabula","NULL","epitaph","D(o)m(ino) / et patrono / amantissimo M(---) / Iuliano viro pre/f(ectissimo?)(!) qui sine fato peri(i)t / qui vixit an(nos) plus minus / XLVII m(enses) VIII d(ies) XXV pos(uit) / Quintus [---] suo","Domino et patrono amantissimo M Iuliano viro prefectissimo qui sine fato periit qui vixit annos plus minus XLVII menses VIII dies XXV posuit Quintus suo",4588,2,"Quintus",NA,NA,"Quintus",NA,"Quintus",NA,"male",NA,"freedmen / freedwomen?",NA,NA,NA,NA,NA
"35",4757,"HD002101",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,400,"tabula","NULL","epitaph","[---]ius subducitur an(n)us / [---]oe sero sub nube iacenti / [---]IIL[--- f]rigi[d]a os(s)a C(h)arybde / [Ma]rcel(l)in[u]s adsum p[o]tior virtute feroci / [---]m omni labore para[t]us / [--- in legi?]one mer(i)tus ratiari[a](!) gessi / [---]s ego maiora iura secutus / [---]ra du(m) proteg(o) cunctus adivi / [---]a tamen rapuerunt tempora et anni / [--- n]ec dubitet set(!) paulatim tollitur / [---] teneor quieto sopore","ius subducitur annus oe sero sub nube iacenti IIL frigida ossa Charybde Marcellinus adsum potior virtute feroci m omni labore paratus in legione meritus ratiaria gessi s ego maiora iura secutus ra dum protego cunctus adivi a tamen rapuerunt tempora et anni nec dubitet set paulatim tollitur teneor quieto sopore",4757,1,"[Ma]rcelin[u]s",NA,NA,"[Ma]rcelin[u]s",NA,"Marcelinus+",NA,"male",NA,NA,NA,NA,NA,NA,NA
"36",4769,"HD002107",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","Marble","epitaph","B(o)n(ae) m(emoriae) / Adtic(a)e(!) Leae qu(a)e ante tenpus(!) sicut / arbor deruit inm[a]tura poma / reliquid(!) quorum [n]ec eloquentia / potuit cognosc[e]re sic subito / natur(a)e red(d)it [de]bitum / quae vix(it) cum virginio suo an(nos) X / mens(es) II exiit de s(a)ec(ulo) ann(orum) XXIIII / contra votum posuit depo/sita die pri(di)e Idus Maias","Bonae memoriae Adticae Leae quae ante tenpus sicut arbor deruit inmatura poma reliquid quorum nec eloquentia potuit cognoscere sic subito naturae reddit debitum quae vixit cum virginio suo annos X menses II exiit de saeculo annorum XXIIII contra votum posuit deposita die pridie Idus Maias",4769,1,"Adtice(!) Leae",NA,"Adtica (= Attica)","Adtice(!) Leae","Adtica (= Attica)","Lea",NA,"female",NA,NA,24,24,NA,NA,"Adtica (= Attica)"
"37",6615,"HD002979",9.67,45.6949,"Bergamum","Transpadana (Regio XI)","Bergamo",51,74,"tabula","Metal","public legal inscription","Quod Q(uintus) Acilius Montanus M(arcus) Iunius Proculus IIviri v(erba) f(ecerunt) / cum M(arcus) Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis pro/pe diem successorem exspectet et Romam proficisci debeat q(uid) f(ieri) p(laceret) d(e) e(a) r(e) i(ta) cens(uerunt) / [c]um M(arcus) Sempronius Fuscus adulescens omni[bus virt]utibus instructissimu[s ita se in] colo/nia nostra gesserit ut unus ex nobis esse [videretur] contuleritque in n[os plu]rima / m[eri]ta summa militiae m[o]destia sum[maque] libera[litate re]mittendo inpens[as quas] / pr[io]rum temporum res p(ublica) nostra contulerat reddi[q]ue [tes]timonium debeat qu[od ex] / discipulina(!) optumi max[i]mique principis i[t]a coho[rti B]a[etic]ae p[raef]uerit ut succes[sorem] / stationi eius simile[m speremus pl]acere n[obis l]egat[os ex hoc ordine mitti] clarissimos v[iros et] / rei publica[e a]man[tissimos qui eum] comme[ndent ---]ea [et iudi]cium nostru[m virtu]/tis eius ad optimu[m maximumque] princip[e]m per[ferant] / item per legatos n[ostros --- praefec]tis coho[r]tium [---]NAN(?)[---]nes quos sum[ma? ------","Quod Quintus Acilius Montanus Marcus Iunius Proculus II viri verba fecerunt cum Marcus Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis prope diem successorem exspectet et Romam proficisci debeat quid fieri placeret de ea re ita censuerunt cum Marcus Sempronius Fuscus adulescens omnibus virtutibus instructissimus ita se in colonia nostra gesserit ut unus ex nobis esse videretur contulerit que in nos plurima merita summa militiae modestia summa que liberalitate remittendo inpensas quas priorum temporum res publica nostra contulerat reddi que testimonium debeat quod ex discipulina optumi maximi que principis ita cohorti Baeticae praefuerit ut successorem stationi eius similem speremus placere nobis legatos ex hoc ordine mitti clarissimos viros et rei publicae amantissimos qui eum commendent ea et iudicium nostrum virtutis eius ad optimum maximum que principem perferant item per legatos nostros praefectis cohortium NAN nes quos summa",6615,1,"Q. Acilius Montanus","Q.","Acilius","Q. Acilius Montanus","Acilius","Montanus",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,"Acilius"
"38",6616,"HD002979",9.67,45.6949,"Bergamum","Transpadana (Regio XI)","Bergamo",51,74,"tabula","Metal","public legal inscription","Quod Q(uintus) Acilius Montanus M(arcus) Iunius Proculus IIviri v(erba) f(ecerunt) / cum M(arcus) Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis pro/pe diem successorem exspectet et Romam proficisci debeat q(uid) f(ieri) p(laceret) d(e) e(a) r(e) i(ta) cens(uerunt) / [c]um M(arcus) Sempronius Fuscus adulescens omni[bus virt]utibus instructissimu[s ita se in] colo/nia nostra gesserit ut unus ex nobis esse [videretur] contuleritque in n[os plu]rima / m[eri]ta summa militiae m[o]destia sum[maque] libera[litate re]mittendo inpens[as quas] / pr[io]rum temporum res p(ublica) nostra contulerat reddi[q]ue [tes]timonium debeat qu[od ex] / discipulina(!) optumi max[i]mique principis i[t]a coho[rti B]a[etic]ae p[raef]uerit ut succes[sorem] / stationi eius simile[m speremus pl]acere n[obis l]egat[os ex hoc ordine mitti] clarissimos v[iros et] / rei publica[e a]man[tissimos qui eum] comme[ndent ---]ea [et iudi]cium nostru[m virtu]/tis eius ad optimu[m maximumque] princip[e]m per[ferant] / item per legatos n[ostros --- praefec]tis coho[r]tium [---]NAN(?)[---]nes quos sum[ma? ------","Quod Quintus Acilius Montanus Marcus Iunius Proculus II viri verba fecerunt cum Marcus Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis prope diem successorem exspectet et Romam proficisci debeat quid fieri placeret de ea re ita censuerunt cum Marcus Sempronius Fuscus adulescens omnibus virtutibus instructissimus ita se in colonia nostra gesserit ut unus ex nobis esse videretur contulerit que in nos plurima merita summa militiae modestia summa que liberalitate remittendo inpensas quas priorum temporum res publica nostra contulerat reddi que testimonium debeat quod ex discipulina optumi maximi que principis ita cohorti Baeticae praefuerit ut successorem stationi eius similem speremus placere nobis legatos ex hoc ordine mitti clarissimos viros et rei publicae amantissimos qui eum commendent ea et iudicium nostrum virtutis eius ad optimum maximum que principem perferant item per legatos nostros praefectis cohortium NAN nes quos summa",6616,2,"M. Iunius Proculus","M.","Iunius","M. Iunius Proculus","Iunius","Proculus",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,"Iunius"
